Venta_ID,Fecha_facturacion,Año,Mes,MesNombre,Total_ventas,Ganancia,Margen,Unidades_vendidas,Precio_unitario,Minorista_ID,Ciudad_ID,Cat_Producto_ID,Metodo_venta_ID,Minorista,Minorista_Codigo,Ciudad_ID_minorista,Ciudad,Estado_ID,Region_ID,Estado,Region,Metodo_venta,Cat_Producto
11,2020-01-23,2020,1,2020-01,540000.0,162000.0,0.3,900,60.0,1,1,5,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Men's Apparel
12,2020-01-24,2020,1,2020-01,500000.0,125000.0,0.25,1000,50.0,1,1,6,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Women's Apparel
13,2020-01-25,2020,1,2020-01,610000.0,305000.0,0.5,1220,50.0,1,1,1,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Men's Street Footwear
14,2020-01-26,2020,1,2020-01,462500.0,138750.0,0.3,925,50.0,1,1,2,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Men's Athletic Footwear
15,2020-01-27,2020,1,2020-01,380000.0,133000.0,0.35,950,40.0,1,1,3,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Women's Street Footwear
16,2020-01-28,2020,1,2020-01,360000.0,125999.99999999999,0.35,800,45.0,1,1,4,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Women's Athletic Footwear
17,2020-01-29,2020,1,2020-01,510000.0,153000.0,0.3,850,60.0,1,1,5,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Men's Apparel
18,2020-01-30,2020,1,2020-01,475000.0,118750.0,0.25,950,50.0,1,1,6,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Women's Apparel
19,2020-01-31,2020,1,2020-01,600000.0,300000.0,0.5,1200,50.0,1,1,1,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Men's Street Footwear
20,2020-02-01,2020,2,2020-02,450000.0,135000.0,0.3,900,50.0,1,1,2,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Men's Athletic Footwear
21,2020-02-02,2020,2,2020-02,360000.0,125999.99999999999,0.35,900,40.0,1,1,3,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Women's Street Footwear
22,2020-02-03,2020,2,2020-02,371250.0,129937.49999999999,0.35,825,45.0,1,1,4,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Women's Athletic Footwear
23,2020-02-04,2020,2,2020-02,495000.0,148500.0,0.3,825,60.0,1,1,5,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Men's Apparel
24,2020-02-05,2020,2,2020-02,475000.0,118750.0,0.25,950,50.0,1,1,6,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Women's Apparel
25,2020-02-06,2020,2,2020-02,732000.0,366000.0,0.5,1220,60.0,1,1,1,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Men's Street Footwear
26,2020-02-07,2020,2,2020-02,508750.00000000006,152625.0,0.3,925,55.0,1,1,2,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Men's Athletic Footwear
27,2020-02-08,2020,2,2020-02,450000.0,157500.0,0.35,900,50.0,1,1,3,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Women's Street Footwear
28,2020-02-09,2020,2,2020-02,425000.0,148750.0,0.35,850,50.0,1,1,4,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Women's Athletic Footwear
29,2020-02-10,2020,2,2020-02,525000.0,157500.0,0.3,875,60.0,1,1,5,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Men's Apparel
30,2020-03-03,2020,3,2020-03,650000.0,162500.0,0.25,1000,65.0,1,1,6,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Women's Apparel
31,2020-03-04,2020,3,2020-03,750000.0,375000.0,0.5,1250,60.0,1,1,1,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Men's Street Footwear
32,2020-03-05,2020,3,2020-03,550000.0000000001,165000.00000000003,0.3,1000,55.0,1,1,2,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Men's Athletic Footwear
33,2020-03-06,2020,3,2020-03,462500.0,161875.0,0.35,925,50.0,1,1,3,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Women's Street Footwear
34,2020-03-07,2020,3,2020-03,450000.0,157500.0,0.35,900,50.0,1,1,4,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Women's Athletic Footwear
35,2020-03-08,2020,3,2020-03,540000.0,162000.0,0.3,900,60.0,1,1,5,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Men's Apparel
36,2020-03-09,2020,3,2020-03,682500.0,170625.0,0.25,1050,65.0,1,1,6,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Women's Apparel
37,2020-03-10,2020,3,2020-03,765000.0,382500.0,0.5,1275,60.0,1,1,1,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Men's Street Footwear
38,2020-03-11,2020,3,2020-03,563750.0000000001,169125.00000000003,0.3,1025,55.0,1,1,2,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Men's Athletic Footwear
39,2020-03-12,2020,3,2020-03,475000.0,166250.0,0.35,950,50.0,1,1,3,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Women's Street Footwear
40,2020-03-13,2020,3,2020-03,450000.0,157500.0,0.35,900,50.0,1,1,4,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Women's Athletic Footwear
41,2020-03-14,2020,3,2020-03,555000.0,166500.0,0.3,925,60.0,1,1,5,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Men's Apparel
42,2020-03-15,2020,3,2020-03,715000.0,178750.0,0.25,1100,65.0,1,1,6,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Women's Apparel
43,2020-03-16,2020,3,2020-03,750000.0,375000.0,0.5,1250,60.0,1,1,1,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Men's Street Footwear
44,2020-03-17,2020,3,2020-03,563750.0000000001,169125.00000000003,0.3,1025,55.0,1,1,2,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Men's Athletic Footwear
45,2020-03-18,2020,3,2020-03,475000.0,166250.0,0.35,950,50.0,1,1,3,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Women's Street Footwear
46,2020-03-31,2020,3,2020-03,462500.0,161875.0,0.35,925,50.0,1,1,4,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Women's Athletic Footwear
47,2020-04-17,2020,4,2020-04,540000.0,162000.0,0.3,900,60.0,2,1,5,2,Walmart,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Men's Apparel
48,2020-04-18,2020,4,2020-04,698750.0,174687.5,0.25,1075,65.0,2,1,6,2,Walmart,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Women's Apparel
49,2020-04-19,2020,4,2020-04,720000.0,360000.0,0.5,1200,60.0,2,1,1,2,Walmart,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Men's Street Footwear
50,2020-04-20,2020,4,2020-04,550000.0000000001,165000.00000000003,0.3,1000,55.0,2,1,2,2,Walmart,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Men's Athletic Footwear
51,2020-04-21,2020,4,2020-04,462500.0,161875.0,0.35,925,50.0,2,1,3,2,Walmart,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Women's Street Footwear
52,2020-04-22,2020,4,2020-04,450000.0,157500.0,0.35,900,50.0,2,1,4,2,Walmart,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Women's Athletic Footwear
53,2020-04-23,2020,4,2020-04,540000.0,162000.0,0.3,900,60.0,2,1,5,2,Walmart,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Men's Apparel
54,2020-04-24,2020,4,2020-04,650000.0,162500.0,0.25,1000,65.0,2,1,6,2,Walmart,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Women's Apparel
55,2020-04-25,2020,4,2020-04,568750.0,170625.0,0.3,875,65.0,2,1,5,2,Walmart,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Men's Apparel
56,2020-04-26,2020,4,2020-04,700000.0,175000.0,0.25,1000,70.0,2,1,6,2,Walmart,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Women's Apparel
57,2020-04-27,2020,4,2020-04,747500.0,373750.0,0.5,1150,65.0,2,1,1,2,Walmart,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Men's Street Footwear
58,2020-04-28,2020,4,2020-04,536250.0000000001,160875.00000000003,0.3,975,55.0,2,1,2,2,Walmart,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Men's Athletic Footwear
59,2020-04-29,2020,4,2020-04,506000.00000000006,177100.0,0.35,920,55.0,2,1,3,2,Walmart,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Women's Street Footwear
60,2020-04-30,2020,4,2020-04,495000.00000000006,173250.0,0.35,900,55.0,2,1,4,2,Walmart,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Women's Athletic Footwear
61,2020-05-01,2020,5,2020-05,568750.0,170625.0,0.3,875,65.0,2,1,5,2,Walmart,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Men's Apparel
62,2020-05-02,2020,5,2020-05,682500.0,170625.0,0.25,975,70.0,2,1,6,2,Walmart,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Women's Apparel
63,2020-05-03,2020,5,2020-05,780000.0,390000.0,0.5,1200,65.0,2,1,1,2,Walmart,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Men's Street Footwear
64,2020-05-04,2020,5,2020-05,550000.0000000001,165000.00000000003,0.3,1000,55.0,2,1,2,2,Walmart,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Men's Athletic Footwear
65,2020-05-05,2020,5,2020-05,522500.00000000006,182875.0,0.35,950,55.0,2,1,3,2,Walmart,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Women's Street Footwear
66,2020-05-06,2020,5,2020-05,495000.00000000006,173250.0,0.35,900,55.0,2,1,4,2,Walmart,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Women's Athletic Footwear
67,2020-05-07,2020,5,2020-05,585000.0,175500.0,0.3,900,65.0,2,1,5,2,Walmart,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Men's Apparel
68,2020-07-18,2020,7,2020-07,700000.0,175000.0,0.25,1000,70.0,2,1,6,2,Walmart,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Women's Apparel
69,2020-07-19,2020,7,2020-07,225000.0,78750.0,0.35,900,25.0,3,1,1,2,Sports Direct,1197831,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Men's Street Footwear
70,2020-07-20,2020,7,2020-07,315000.0,110250.0,0.35,900,35.0,3,1,2,2,Sports Direct,1197831,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Men's Athletic Footwear
71,2020-07-21,2020,7,2020-07,245000.0,85750.0,0.35,700,35.0,3,1,3,2,Sports Direct,1197831,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Women's Street Footwear
72,2020-07-22,2020,7,2020-07,245000.0,110250.0,0.45,700,35.0,3,1,4,2,Sports Direct,1197831,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Women's Athletic Footwear
73,2020-07-23,2020,7,2020-07,220000.0,66000.0,0.3,550,40.0,4,2,5,2,Sports Direct,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Men's Apparel
74,2020-07-24,2020,7,2020-07,245000.0,122500.0,0.5,700,35.0,4,2,6,2,Sports Direct,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Women's Apparel
75,2020-07-25,2020,7,2020-07,212500.0,74375.0,0.35,850,25.0,4,2,1,2,Sports Direct,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Men's Street Footwear
76,2020-07-26,2020,7,2020-07,297500.0,104125.0,0.35,850,35.0,4,2,2,2,Sports Direct,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Men's Athletic Footwear
77,2020-07-27,2020,7,2020-07,236250.0,82687.5,0.35,675,35.0,4,2,3,2,Sports Direct,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Women's Street Footwear
78,2020-07-28,2020,7,2020-07,218750.0,98437.5,0.45,625,35.0,4,2,4,2,Sports Direct,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Women's Athletic Footwear
79,2020-07-29,2020,7,2020-07,200000.0,60000.0,0.3,500,40.0,4,2,5,2,Sports Direct,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Men's Apparel
80,2020-07-30,2020,7,2020-07,245000.0,122500.0,0.5,700,35.0,4,2,6,2,Sports Direct,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Women's Apparel
81,2020-07-31,2020,7,2020-07,262500.0,91875.0,0.35,875,30.0,4,2,1,2,Sports Direct,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Men's Street Footwear
82,2020-08-01,2020,8,2020-08,350000.0,122499.99999999999,0.35,875,40.0,4,2,2,2,Sports Direct,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Men's Athletic Footwear
83,2020-08-02,2020,8,2020-08,245000.0,85750.0,0.35,700,35.0,4,2,3,2,Sports Direct,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Women's Street Footwear
84,2020-08-03,2020,8,2020-08,240000.0,108000.0,0.45,600,40.0,4,2,4,2,Sports Direct,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Women's Athletic Footwear
85,2020-08-04,2020,8,2020-08,225000.0,67500.0,0.3,500,45.0,4,2,5,2,Sports Direct,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Men's Apparel
86,2020-08-05,2020,8,2020-08,260000.0,130000.0,0.5,650,40.0,4,2,6,2,Sports Direct,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Women's Apparel
87,2020-08-06,2020,8,2020-08,270000.0,94500.0,0.35,900,30.0,4,2,1,2,Sports Direct,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Men's Street Footwear
88,2020-08-07,2020,8,2020-08,360000.0,125999.99999999999,0.35,900,40.0,4,2,2,2,Sports Direct,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Men's Athletic Footwear
89,2020-08-08,2020,8,2020-08,253750.0,88812.5,0.35,725,35.0,4,2,3,2,Sports Direct,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Women's Street Footwear
90,2020-08-09,2020,8,2020-08,250000.0,112500.0,0.45,625,40.0,4,2,4,2,Sports Direct,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Women's Athletic Footwear
91,2020-08-10,2020,8,2020-08,236250.0,70875.0,0.3,525,45.0,5,2,5,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Men's Apparel
92,2020-08-11,2020,8,2020-08,320000.0,160000.0,0.5,800,40.0,5,2,6,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Women's Apparel
93,2020-08-12,2020,8,2020-08,277500.0,97125.0,0.35,925,30.0,5,2,1,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Men's Street Footwear
94,2020-08-13,2020,8,2020-08,370000.0,129499.99999999999,0.35,925,40.0,5,2,2,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Men's Athletic Footwear
95,2020-08-14,2020,8,2020-08,271250.0,94937.5,0.35,775,35.0,5,2,3,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Women's Street Footwear
96,2020-08-15,2020,8,2020-08,280000.0,126000.0,0.45,700,40.0,5,2,4,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Women's Athletic Footwear
97,2020-08-16,2020,8,2020-08,270000.0,81000.0,0.3,600,45.0,5,2,5,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Men's Apparel
98,2020-08-17,2020,8,2020-08,380000.0,190000.0,0.5,950,40.0,5,2,6,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Women's Apparel
99,2020-08-18,2020,8,2020-08,380000.0,133000.0,0.35,950,40.0,5,2,1,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Men's Street Footwear
100,2020-08-19,2020,8,2020-08,427500.0,149625.0,0.35,950,45.0,5,2,2,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Men's Athletic Footwear
101,2020-08-20,2020,8,2020-08,320000.0,112000.0,0.35,800,40.0,5,2,3,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Women's Street Footwear
102,2020-08-21,2020,8,2020-08,300000.0,135000.0,0.45,750,40.0,5,2,4,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Women's Athletic Footwear
103,2020-08-22,2020,8,2020-08,292500.0,87750.0,0.3,650,45.0,5,2,5,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Men's Apparel
104,2020-08-23,2020,8,2020-08,500000.0,250000.0,0.5,1000,50.0,5,2,6,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Women's Apparel
105,2020-08-24,2020,8,2020-08,380000.0,133000.0,0.35,950,40.0,5,2,1,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Men's Street Footwear
106,2020-08-25,2020,8,2020-08,427500.0,149625.0,0.35,950,45.0,5,2,2,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Men's Athletic Footwear
107,2020-08-26,2020,8,2020-08,440000.0,154000.0,0.35,1100,40.0,5,2,3,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Women's Street Footwear
108,2020-08-27,2020,8,2020-08,280000.0,126000.0,0.45,700,40.0,5,2,4,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Women's Athletic Footwear
109,2020-08-28,2020,8,2020-08,315000.0,94500.0,0.3,700,45.0,5,2,5,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Men's Apparel
110,2020-08-29,2020,8,2020-08,487500.0,243750.0,0.5,975,50.0,5,2,6,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Women's Apparel
111,2020-08-30,2020,8,2020-08,370000.0,129499.99999999999,0.35,925,40.0,5,2,1,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Men's Street Footwear
112,2020-08-31,2020,8,2020-08,416250.0,145687.5,0.35,925,45.0,5,2,2,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Men's Athletic Footwear
113,2020-09-01,2020,9,2020-09,440000.0,154000.0,0.35,1100,40.0,5,2,3,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Women's Street Footwear
114,2020-09-02,2020,9,2020-09,260000.0,117000.0,0.45,650,40.0,5,2,4,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Women's Athletic Footwear
115,2020-09-03,2020,9,2020-09,292500.0,87750.0,0.3,650,45.0,5,2,5,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Men's Apparel
116,2020-09-04,2020,9,2020-09,450000.0,225000.0,0.5,900,50.0,5,2,6,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Women's Apparel
117,2020-09-05,2020,9,2020-09,382500.0,133875.0,0.35,850,45.0,5,2,1,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Men's Street Footwear
118,2020-09-06,2020,9,2020-09,382500.0,133875.0,0.35,850,45.0,5,2,2,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Men's Athletic Footwear
119,2020-09-07,2020,9,2020-09,450000.0,157500.0,0.35,900,50.0,5,2,3,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Women's Street Footwear
120,2020-09-08,2020,9,2020-09,312500.0,140625.0,0.45,625,50.0,5,2,4,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Women's Athletic Footwear
121,2020-09-09,2020,9,2020-09,281250.0,84375.0,0.3,625,45.0,5,2,5,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Men's Apparel
122,2020-09-10,2020,9,2020-09,467500.00000000006,233750.00000000003,0.5,850,55.0,5,2,6,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Women's Apparel
123,2020-09-11,2020,9,2020-09,360000.0,125999.99999999999,0.35,800,45.0,5,2,1,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Men's Street Footwear
124,2020-09-12,2020,9,2020-09,360000.0,125999.99999999999,0.35,800,45.0,5,2,2,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Men's Athletic Footwear
125,2020-09-13,2020,9,2020-09,375000.0,131250.0,0.35,750,50.0,5,2,3,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Women's Street Footwear
126,2020-09-14,2020,9,2020-09,300000.0,135000.0,0.45,600,50.0,5,2,4,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Women's Athletic Footwear
127,2020-09-15,2020,9,2020-09,258750.0,77625.0,0.3,575,45.0,5,2,5,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Men's Apparel
128,2020-09-16,2020,9,2020-09,412500.00000000006,206250.00000000003,0.5,750,55.0,5,2,6,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Women's Apparel
129,2020-10-20,2020,10,2020-10,405000.0,141750.0,0.35,900,45.0,5,2,1,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Men's Street Footwear
130,2020-10-21,2020,10,2020-10,405000.0,141750.0,0.35,900,45.0,5,2,2,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Men's Athletic Footwear
131,2020-10-22,2020,10,2020-10,412500.0,144375.0,0.35,825,50.0,5,2,3,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Women's Street Footwear
132,2020-10-23,2020,10,2020-10,337500.0,151875.0,0.45,675,50.0,5,2,4,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Women's Athletic Footwear
133,2020-10-24,2020,10,2020-10,292500.0,87750.0,0.3,650,45.0,5,2,5,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Men's Apparel
134,2020-10-25,2020,10,2020-10,467500.00000000006,233750.00000000003,0.5,850,55.0,5,2,6,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Women's Apparel
135,2020-10-26,2020,10,2020-10,427500.0,149625.0,0.35,950,45.0,5,2,1,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Men's Street Footwear
136,2020-10-27,2020,10,2020-10,427500.0,149625.0,0.35,950,45.0,5,2,2,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Men's Athletic Footwear
137,2020-10-28,2020,10,2020-10,425000.0,148750.0,0.35,850,50.0,5,2,3,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Women's Street Footwear
138,2020-10-29,2020,10,2020-10,350000.0,157500.0,0.45,700,50.0,5,2,4,2,Walmart,1197831,2,"Houston, Estados Unidos",43,2,Texas,South,Outlet,Women's Athletic Footwear
